2025-07-01 02:50:57,535 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:50:57,535 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 02:54:52,369 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:54:52,434 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:54:52,849 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:54:52,849 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:54:52,849 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:54:52,849 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:54:52,849 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:54:52,849 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:54:52,849 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:54:52,849 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:54:52,849 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:54:52,849 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:54:52,849 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:54:52,867 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:54:52,867 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:54:52,867 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:54:52,867 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 02:58:44,293 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:58:44,357 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:58:44,769 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:58:44,769 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:58:44,770 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:58:44,770 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:58:44,770 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:58:44,770 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:58:44,770 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:58:44,770 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:58:44,770 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:58:44,770 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:58:44,770 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:58:44,790 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:58:44,790 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:58:44,790 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:58:44,790 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:03:20,554 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:03:20,623 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:03:21,034 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:03:21,034 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:03:21,034 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:03:21,034 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:03:21,034 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:03:21,034 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:03:21,034 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:03:21,034 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:03:21,034 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:03:21,034 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:03:21,034 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:03:21,053 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
